Year,GEO,After-tax income#Economic families#Median income#2018 constant dollars#units#11100237_StatsCanada
2017,Newfoundland and Labrador,72400
2017,Nova Scotia,71600
2017,Ontario,85800
2017,"Ottawa-Gatineau, Ontario/Quebec",96300
2017,Prairie provinces,93000
2017,Prince Edward Island,73400
2017,Quebec,74600
2017,"Québec, Quebec",82600
2017,Saskatchewan,88200
2017,"Toronto, Ontario",90700
2017,"Vancouver, British Columbia",89900
2017,"Winnipeg, Manitoba",82700
2018,Alberta,98400
2018,Atlantic provinces,71800
2018,British Columbia,90400
2018,"Calgary, Alberta",102000
2018,Canada,84900
2018,"Edmonton, Alberta",105900
2018,Manitoba,79300
2018,"Montréal, Quebec",79600
2018,New Brunswick,71100
2018,Newfoundland and Labrador,71900
2018,Nova Scotia,71900
2018,Ontario,89200
