Year,GEO,"RATE_Care providers and educational, legal and public protection support occupations [44]#Persons#thousands#14100314_StatsCanada"
2019,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",6.9
2019,"Ottawa-Gatineau, Ontario/Quebec",8.2
2019,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",
2019,"Peterborough, Ontario",
2019,"Québec, Quebec",1.9
2019,"Regina, Saskatchewan",1.9
2019,"Saguenay, Quebec",
2019,"Saint John, New Brunswick",1.5
2019,"Saskatoon, Saskatchewan",3.6
2019,"Sherbrooke, Quebec",
2019,"St. Catharines-Niagara, Ontario",3.0
2019,"St. John's, Newfoundland and Labrador",2.4
2019,"Thunder Bay, Ontario",
2019,"Toronto, Ontario",38.7
2019,"Trois-Rivières, Quebec",
2019,"Vancouver, British Columbia",18.7
2019,"Victoria, British Columbia",2.5
2019,"Windsor, Ontario",2.1
2019,"Winnipeg, Manitoba",8.9
